family,height,width,pixels,mean,std,min,max,entropy
Allaple.A,340,256,87040,125.405078125,76.13881703511531,0,255,7.930756439606585
Instantaccess,445,384,170880,121.50409644194757,78.14507424240027,0,255,7.837876345311974
Obfuscator.AD,424,384,162816,117.43610578812893,79.77951422831126,0,255,7.6989026503798135
Allaple.A,306,256,78336,124.29226664624183,76.17792733455904,0,255,7.903649772420683
Allaple.A,306,256,78336,123.69587418300654,76.53813925723345,0,255,7.90591222615617
Instantaccess,445,384,170880,121.55689372659177,78.20170148210099,0,255,7.838066719768823
Swizzor.gen!I,517,512,264704,102.47103557180851,84.35853607392262,0,255,7.110292422496279
Lolyda.AA1,432,64,27648,94.46249276620371,91.7544204141979,0,255,5.812324370214643
Rbot!gen,585,512,299520,94.48254874465812,79.70350972037821,0,255,6.492435586283513
Lolyda.AA2,288,128,36864,73.12828233506944,89.92074152088092,0,255,4.8113201615808086
Fakerean,285,384,109440,118.28071089181286,81.07243751736054,0,255,7.579276932130401
C2LOP.gen!g,847,768,650496,108.12361951495474,83.28318256097982,0,255,7.277906292159038
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Instantaccess,445,384,170880,121.55994264981274,78.16997042809291,0,255,7.8377745017867575
Swizzor.gen!E,626,512,320512,107.17150059904154,83.77261041101964,0,255,7.205005064752974
Lolyda.AA1,432,64,27648,94.56832320601852,91.95589805273444,0,255,5.798200511419954
VB.AT,928,512,475136,83.26166192416487,89.37150126014774,0,255,5.410994928953568
Allaple.A,248,256,63488,124.43622416834677,77.45425876144208,0,255,7.879713733516404
Allaple.A,265,256,67840,123.42134433962264,76.04947828232292,0,255,7.884420961112312
C2LOP.P,869,768,667392,108.86440053222094,81.72795356575574,0,255,7.336897934238568
Allaple.A,246,256,62976,123.76160759654472,76.36393759938595,0,255,7.869793694139866
Instantaccess,467,384,179328,119.31631981620271,78.89689953444014,0,255,7.777560189498708
Swizzor.gen!I,870,512,445440,103.32800377155172,83.45645193897712,0,255,6.783597177974436
Allaple.L,452,128,57856,123.9015659568584,77.33136140593365,0,255,7.866992722304422
Allaple.L,452,128,57856,122.75012099004425,77.06352976114562,0,255,7.841691867907375
C2LOP.gen!g,935,512,478720,111.79778993983957,79.97538824472844,0,255,7.620369213864312
Malex.gen!J,314,256,80384,121.44598427547771,76.22516134604012,0,255,7.881169592648603
Allaple.L,452,128,57856,120.90187707411505,77.28985858875063,0,255,7.858960706264838
Allaple.L,452,128,57856,124.2725560011062,77.84308172458245,0,255,7.855563085572877
Allaple.L,456,128,58368,123.33395010964912,76.7950249298026,0,255,7.856536418378072
C2LOP.gen!g,979,512,501248,108.18659625574566,81.68571220359163,0,255,7.425827284074224
Instantaccess,445,384,170880,121.43981741573033,78.1685598817893,0,255,7.8377927434704375
Allaple.L,452,128,57856,120.64783254977876,77.57167632578903,0,255,7.859384229739792
Allaple.L,452,128,57856,122.94266800331859,76.33058550245272,0,255,7.864213225873243
Alueron.gen!J,368,256,94208,104.83165973165761,82.7380683047122,0,255,7.235811486857353
VB.AT,936,768,718848,67.39990790820869,84.97285595373542,0,255,4.717274590110729
Allaple.A,264,256,67584,123.79404888731061,76.25303338306809,0,255,7.896440908665006
Allaple.L,452,128,57856,123.64663993362832,77.32857100615372,0,255,7.85021345294432
Allaple.L,464,128,59392,123.70541487068965,76.21319728391774,0,255,7.874431707465284
Allaple.A,304,256,77824,124.13945569490132,75.91584505909138,0,255,7.914041879506586
Allaple.A,264,256,67584,122.57790305397727,76.69735204278922,0,255,7.857476511699652
VB.AT,706,768,542208,84.65093654095845,89.6460308797073,0,255,5.59464347873317
Allaple.A,248,256,63488,121.33247227822581,77.21111042016726,0,255,7.857329597301331
Allaple.A,264,256,67584,120.90570253314394,77.62871860091066,0,255,7.845731140341648
Allaple.A,264,256,67584,123.99103338068181,76.38872930025289,0,255,7.893351471277807
Allaple.L,452,128,57856,122.96883642146018,76.41357839333605,0,255,7.862802806806665
Skintrim.N,521,384,200064,104.67972248880358,82.99357234698763,0,255,7.235449552730625
Malex.gen!J,293,256,75008,121.2040582337884,76.41718340768773,0,255,7.866747040949804
VB.AT,826,768,634368,83.71402088377724,89.7794776097169,0,255,5.637754982983532
C2LOP.P,542,512,277504,109.7237337119465,81.1907270103105,0,255,7.461686439284577
Allaple.L,452,128,57856,123.03126728429204,76.46403190668552,0,255,7.860196562975537
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,269,256,68864,123.34854205390334,76.7185371577335,0,255,7.882458600804298
Instantaccess,445,384,170880,121.39268492509363,78.1037589872064,0,255,7.838000386012958
Malex.gen!J,300,256,76800,121.29825520833333,76.43143647302922,0,255,7.8718359600537635
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Fakerean,282,384,108288,118.92195811170212,80.73413130856528,0,255,7.626203293118085
Allaple.L,452,128,57856,123.40523022676992,77.08624121762432,0,255,7.854601074077174
Allaple.L,452,128,57856,123.11402447455752,76.8428280471597,0,255,7.8668390951978875
Allaple.L,452,128,57856,123.37638274336283,76.70013363758802,0,255,7.855983530528409
Autorun.K,683,768,524544,108.85945506954612,87.63789982295897,0,255,6.609823761230162
Allaple.A,306,256,78336,123.02041207107843,75.6489247017509,0,255,7.90473291389474
Allaple.A,264,256,67584,122.76313920454545,77.02161991985825,0,255,7.867184644513873
Allaple.L,452,128,57856,120.46600179756638,77.1147792498048,0,255,7.854802798484196
Allaple.A,344,256,88064,124.13905795784883,76.64816021827639,0,255,7.91327982729922
Allaple.L,448,128,57344,120.90904017857143,76.10886491327261,0,255,7.842402225555575
VB.AT,878,512,449536,84.12543600512528,90.01150768525672,0,255,5.488499358297666
Allaple.L,452,128,57856,122.38889657079646,76.42308304078968,0,255,7.860279787431273
C2LOP.P,896,512,458752,102.05708530970982,83.74661615103457,0,255,6.879248073720927
Instantaccess,467,384,179328,119.28624643112063,78.95458807749839,0,255,7.777295618105091
Allaple.L,452,128,57856,123.68952226216814,76.39168070421252,0,255,7.854707485650557
Lolyda.AA1,432,64,27648,94.35543258101852,91.81777991162853,0,255,5.799080477390664
Allaple.A,306,256,78336,123.70778441584967,75.7231397705811,0,255,7.915514863778144
Allaple.L,448,128,57344,122.39072963169643,76.47981565097226,0,255,7.8436798183130225
Allaple.A,306,256,78336,124.08037173202614,76.55997611382675,0,255,7.9103000136061015
Allaple.L,448,128,57344,121.63248116629464,76.90920469139503,0,255,7.840540773043426
Fakerean,497,384,190848,119.40293322434607,77.24549623682096,0,255,7.841471690838955
Malex.gen!J,353,256,90368,121.98592422096317,75.94672686512183,0,255,7.902634949936076
Instantaccess,445,384,170880,121.47486540262172,78.1600802905393,0,255,7.838009355088855
Adialer.C,410,512,209920,92.18526105182927,74.5440762790508,0,255,6.503763901108159
Rbot!gen,463,512,237056,96.92364251484881,81.33281429312407,0,255,6.528493240119383
Allaple.A,306,256,78336,123.33144403594771,75.96034551612746,0,255,7.905040213002685
Allaple.A,248,256,63488,123.90965221774194,76.69454870943544,0,255,7.877966776738003
Allaple.L,448,128,57344,121.77115304129464,76.18170035548398,0,255,7.836173373688403
Allaple.A,246,256,62976,121.56127731199187,76.04536313937604,0,255,7.863148323400759
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.L,452,128,57856,122.82924847898231,76.60873740919007,0,255,7.859783541211071
VB.AT,3605,1024,3691520,65.66878657030166,81.70003331899221,0,255,4.959269966650689
Allaple.A,281,256,71936,122.77935943060498,75.6945075557028,0,255,7.896009163890058
Skintrim.N,522,384,200448,104.6979066890166,82.97027393331615,0,255,7.237929705003051
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,302,256,77312,125.4589585057947,76.57438360397815,0,255,7.917490176905611
Lolyda.AA2,288,128,36864,75.18212890625,90.5424997424804,0,255,4.8637891276757514
Allaple.A,246,256,62976,123.29887576219512,77.14438747773787,0,255,7.862557831629992
Allaple.A,284,256,72704,124.69146126760563,76.53513477421302,0,255,7.901708261219196
Allaple.A,366,256,93696,127.61996243169399,76.86319948235234,0,255,7.933260850372184
Allaple.A,265,256,67840,122.78907724056604,76.02535797108756,0,255,7.8865915231705035
Fakerean,285,384,109440,121.87302631578947,81.4398227708452,0,255,7.5777665116212525
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Instantaccess,445,384,170880,121.49981858614233,78.1545764986443,0,255,7.837869795094502
Allaple.L,452,128,57856,123.46081650995575,77.35241925033614,0,255,7.854780044887377
Instantaccess,467,384,179328,119.31208177194861,78.94320727539879,0,255,7.777203453654719
Allaple.L,452,128,57856,122.32401133849558,76.71219721572045,0,255,7.832859122436065
C2LOP.gen!g,958,512,490496,114.49539038034969,79.32773877349467,0,255,7.638116075476821
Dialplatform.B,216,64,13824,94.58022280092592,82.56274051999839,0,255,6.760753014453159
Allaple.A,306,256,78336,123.22630718954248,75.64864117813647,0,255,7.9093280309364316
Allaple.A,264,256,67584,124.68257279829545,77.03882550361443,0,255,7.887623228906602
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,366,256,93696,127.19741504439891,76.32604597574385,0,255,7.934615541745935
VB.AT,801,512,410112,80.0550337468789,91.04760648631854,0,255,5.15831673105138
Allaple.A,306,256,78336,123.60559640522875,75.75248401260896,0,255,7.909825206715641
Allaple.A,306,256,78336,123.89320363562092,76.36997657368363,0,255,7.901208511540376
VB.AT,789,768,605952,81.26672079636671,88.75969042203134,0,255,5.466105572888775
Allaple.A,266,256,68096,121.92124353853383,76.86799365853132,0,255,7.895743314022548
VB.AT,778,768,597504,81.36233564963582,88.24735390475793,0,255,5.485346264651689
Allaple.A,254,256,65024,122.03683255413385,77.15712813651994,0,255,7.877154535246006
Dontovo.A,456,64,29184,56.70614035087719,79.11880100030533,0,255,4.452646538807576
Allaple.L,452,128,57856,123.57487555309734,77.50370383927736,0,255,7.856900743568302
Allaple.A,370,256,94720,124.20644003378378,75.21688048376107,0,255,7.919921121269294
Alueron.gen!J,312,256,79872,117.61904046474359,78.28132374376463,0,255,7.765310783816762
Wintrim.BX,844,512,432128,122.04899011404028,76.48929833834008,0,255,7.876172041245914
Allaple.A,306,256,78336,124.11139195261438,76.50319515147834,0,255,7.909032795395111
Dialplatform.B,216,64,13824,94.44191261574075,82.4784743925608,0,255,6.7590245850177215
Dialplatform.B,216,64,13824,94.5078125,82.43977580371441,0,255,6.761934952973302
Allaple.L,452,128,57856,123.393062085177,76.8116193117659,0,255,7.859203755476181
Wintrim.BX,816,512,417792,122.88172104779412,75.63857034461094,0,255,7.900497520529546
Instantaccess,467,384,179328,119.29841407922912,78.95683747383491,0,255,7.777148625758997
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.L,452,128,57856,122.803218335177,76.92642632011821,0,255,7.85349938671779
Allaple.A,265,256,67840,123.67964327830188,76.83641410514838,0,255,7.891959918650714
Lolyda.AA2,288,128,36864,74.99872504340277,90.4523320565012,0,255,4.860865975508528
Allaple.A,248,256,63488,122.65443863407258,76.6165234567678,0,255,7.861694871028048
Instantaccess,445,384,170880,121.38988178838952,78.11658785818119,0,255,7.837878448663296
Allaple.A,248,256,63488,123.24499117943549,75.81524090188934,0,255,7.868701866525396
VB.AT,1084,768,832512,69.42741726245387,85.97712500666823,0,255,4.889428584350262
Allaple.L,452,128,57856,122.58042381084071,76.27931371417377,0,255,7.858600008463091
Instantaccess,445,384,170880,121.4718047752809,78.1751260973011,0,255,7.837978857548983
Allaple.A,246,256,62976,124.3155487804878,76.9359208400191,0,255,7.877319970049839
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Lolyda.AA1,323,64,20672,125.46028444272446,75.21923947827437,0,255,7.966796023306742
Allaple.L,452,128,57856,121.03373893805309,77.55676894005309,0,255,7.837960310931049
Swizzor.gen!E,662,512,338944,100.96293783043807,83.80581927409025,0,255,7.107967767757051
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Lolyda.AA3,480,512,245760,181.5766805013021,62.055989010883934,0,255,1.4233297155167137
Rbot!gen,468,512,239616,97.30665314503206,81.11040740194035,0,255,6.536699075783943
Allaple.A,266,256,68096,124.0415002349624,76.75947049775135,0,255,7.890201124509815
Allaple.A,254,256,65024,124.39314714566929,77.35178387114438,0,255,7.8831336406163715
Agent.FYI,259,64,16576,78.73564189189189,83.77773397717633,0,255,5.987351450578442
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Instantaccess,445,384,170880,121.58798572097378,78.19226441901768,0,255,7.837836716672473
Allaple.A,254,256,65024,124.4103715551181,77.03499327537291,0,255,7.882214079181766
Dialplatform.B,216,64,13824,94.4445167824074,82.53595484944039,0,255,6.75024281945104
Allaple.A,246,256,62976,123.46927400914635,76.8462630274195,0,255,7.862974018465712
Allaple.L,452,128,57856,122.79811946902655,76.57838827776568,0,255,7.860384943325961
Allaple.L,448,128,57344,121.83738490513393,77.02549269159775,0,255,7.842584791324027
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Dontovo.A,244,128,31232,49.66451075819672,74.77200205102599,0,255,4.325623459548428
Lolyda.AA1,456,64,29184,99.01161595394737,93.53012905945776,0,255,5.913415050011415
VB.AT,962,512,492544,81.45625771504677,87.44865478661788,0,255,5.489627030533811
Fakerean,277,384,106368,122.57592509025271,79.68590937329523,0,255,7.6684706512330045
Allaple.A,254,256,65024,124.46825787401575,76.21547584760982,0,255,7.882945293596373
Allaple.L,452,128,57856,124.01826949668141,77.11670395523316,0,255,7.860851589277566
Allaple.L,452,128,57856,123.13362486172566,76.79592913820714,0,255,7.8521643264438215
Swizzor.gen!I,638,512,326656,103.48637098354232,85.1958312343641,0,255,7.020552808081625
Lolyda.AT,345,64,22080,104.02758152173914,76.94787791085793,0,255,7.515493214685444
C2LOP.gen!g,700,768,537600,112.6778515625,81.75323655534437,0,255,7.531846413358001
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.L,452,128,57856,120.58616219579646,77.4695714959654,0,255,7.834171390292511
Allaple.A,254,256,65024,123.9105407234252,76.30073669946665,0,255,7.880906699853558
Obfuscator.AD,424,384,162816,117.60738502358491,79.83541605788722,0,255,7.698769191192273
Lolyda.AA2,240,128,30720,99.54720052083333,93.82864540850073,0,255,5.881090086048097
Lolyda.AT,449,64,28736,105.27509047884188,76.14839711285138,0,255,7.559155159097608
Instantaccess,445,384,170880,121.4393902153558,78.15364464624447,0,255,7.837790738629478
Autorun.K,683,768,524544,108.85944363103953,87.63790676568547,0,255,6.609826158767793
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.L,452,128,57856,121.63677060287611,76.10104658669157,0,255,7.838579740740238
Allaple.L,452,128,57856,121.70220893252213,76.9216976258359,0,255,7.835674084281939
Allaple.A,344,256,88064,124.50539380450581,76.97434359055991,0,255,7.909053409759438
Swizzor.gen!I,558,512,285696,102.60132448476702,82.69741798408275,0,255,7.091624758080836
Allaple.A,264,256,67584,123.60601621685606,75.61390774464661,0,255,7.891661177482078
Instantaccess,435,384,167040,120.33800886015325,78.1130330559511,0,255,7.818168029541747
VB.AT,745,768,572160,82.02129124720358,88.69956836093088,0,255,5.498091529335049
Allaple.A,281,256,71936,124.05457629003558,75.69126164404081,0,255,7.902423733873386
Allaple.A,342,256,87552,125.47454084429825,76.32426274492624,0,255,7.9273232155324465
Lolyda.AA2,264,128,33792,101.3782256155303,91.61491978933815,0,255,5.929594268969661
Allaple.L,452,128,57856,123.53510439712389,77.81348454069469,0,255,7.851218148170135
Dontovo.A,320,128,40960,37.9396728515625,68.12702547369122,0,255,3.3483040959592913
Allaple.A,264,256,67584,123.73341323390152,75.88825816336185,0,255,7.894176444554393
C2LOP.gen!g,688,768,528384,111.39150125666183,81.47942243132712,0,255,7.547772969853048
Instantaccess,445,384,170880,121.4980863764045,78.17204813208977,0,255,7.837879579369252
VB.AT,1057,768,811776,84.0605893744087,88.76518370543897,0,255,5.7313574863648595
Swizzor.gen!E,629,512,322048,105.95840061108903,84.45341016921485,0,255,7.167437247127303
Allaple.A,246,256,62976,121.4538236788618,75.85613926164662,0,255,7.86569334876846
Lolyda.AA3,488,512,249856,180.207043256916,63.54451040764737,0,255,1.5341676268484108
Allaple.L,452,128,57856,120.67576396570796,77.14593850970928,0,255,7.859172196577382
Dontovo.A,320,128,40960,37.946435546875,68.1279719964521,0,255,3.348303237268732
Allaple.A,264,256,67584,123.40994910037878,75.93378470442606,0,255,7.899741260015192
Fakerean,278,384,106752,118.79894521882494,81.08408071406711,0,255,7.657484984459119
Dialplatform.B,216,64,13824,94.59273726851852,82.58152060620075,0,255,6.762322587838874
Autorun.K,683,768,524544,108.85944172462176,87.63790833974552,0,255,6.60983209510108
Instantaccess,445,384,170880,121.47712429775281,78.17479157052807,0,255,7.8379175758847826
Fakerean,278,384,106752,118.79894521882494,81.08408071406711,0,255,7.657484984459119
Lolyda.AA1,464,64,29696,95.61850080818965,91.98575107583338,0,255,5.798236528677687
Fakerean,345,384,132480,124.07299214975845,79.1441824557593,0,255,7.731958451854009
Allaple.A,264,256,67584,122.55635949337122,76.53856375665389,0,255,7.875801860429922
Instantaccess,467,384,179328,119.31021926302641,78.9240710088513,0,255,7.777489581474665
Alueron.gen!J,368,256,94208,105.50350288722827,82.90255171260267,0,255,7.244063403030966
Allaple.L,452,128,57856,123.25705199115045,76.74196065166053,0,255,7.857285975607484
VB.AT,804,512,411648,81.95780132540423,90.27946438754113,0,255,5.363275700950883
Allaple.L,452,128,57856,123.79518113938053,77.79841994378691,0,255,7.857657438803193
Adialer.C,410,512,209920,92.19532202743902,74.5501025143501,0,255,6.503797346968765
Allaple.A,302,256,77312,124.25604045943709,75.79715424860142,0,255,7.918698774102852
VB.AT,955,512,488960,81.58845304319372,88.71949618203115,0,255,5.4010429155467
Rbot!gen,465,512,238080,95.59989919354838,80.3299639498784,0,255,6.534426884120023
Allaple.L,448,128,57344,121.47345842633929,76.24632963801,0,255,7.836174431829189
Allaple.L,466,128,59648,123.51748591738198,77.81985813777801,0,255,7.850825299314158
Dialplatform.B,216,64,13824,94.33036747685185,82.42293951688077,0,255,6.7515130076110985
Swizzor.gen!E,600,512,307200,105.57052083333333,82.73796756515154,0,255,7.222146315718842
C2LOP.gen!g,691,768,530688,114.36029456102267,81.40511241094006,0,255,7.588273137256465
VB.AT,780,768,599040,79.72682291666666,88.43470607892081,0,255,5.375493005628858
Instantaccess,445,384,170880,121.49194756554307,78.1542932692311,0,255,7.837714461865293
Allaple.A,306,256,78336,122.39579503676471,76.81340269061516,0,255,7.898369649122997
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,254,256,65024,123.9533249261811,76.47739216917326,0,255,7.885350826743288
Allaple.A,264,256,67584,123.18923117897727,76.74498862028062,0,255,7.872618049496086
Instantaccess,445,384,170880,121.55718632958802,78.19006268965927,0,255,7.837955219481514
Allaple.L,452,128,57856,123.93504563053098,77.73275935823565,0,255,7.8554392103602115
Dialplatform.B,216,64,13824,94.35264756944444,82.51046678969766,0,255,6.757187211733883
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Allaple.A,254,256,65024,124.5699280265748,76.90486484957717,0,255,7.887532019200382
Malex.gen!J,250,256,64000,120.6686875,76.85167825608848,0,255,7.839163250361243
Allaple.A,254,256,65024,122.02732837106299,77.10163627335822,0,255,7.882988055687933
Allaple.L,452,128,57856,123.3195347068584,76.3573893509645,0,255,7.859354701563421
Skintrim.N,463,384,177792,102.30466500179986,83.60536057233831,0,255,7.1051465461498164
Alueron.gen!J,368,256,94208,105.9033203125,82.17114400617743,0,255,7.295116260477827
Allaple.L,464,128,59392,125.2244073275862,77.40765723334893,0,255,7.863056211011912
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Malex.gen!J,351,256,89856,122.01306534900284,75.84290354908194,0,255,7.906126613947684
Allaple.A,254,256,65024,122.19517408956693,77.01635486566636,0,255,7.881035784915257
Lolyda.AA2,288,128,36864,74.94718424479167,90.44929899199644,0,255,4.863574152865004
Fakerean,282,384,108288,118.92195811170212,80.73413130856528,0,255,7.626203293118085
Instantaccess,445,384,170880,121.60184339887641,78.19375115794465,0,255,7.837789438734642
Allaple.L,452,128,57856,120.43250483960178,77.55531546660463,0,255,7.836471762941722
Lolyda.AT,377,64,24128,103.68642241379311,76.21824345007349,0,255,7.50541590514259
Swizzor.gen!I,609,512,311808,101.38527234708539,83.33146613481198,0,255,7.026253577395094
VB.AT,2861,1024,2929664,71.64417455380548,85.96067479918209,0,255,5.172842731262
Instantaccess,445,384,170880,121.58373127340823,78.17375205362264,0,255,7.837906581709374
C2LOP.gen!g,689,768,529152,113.0191608460329,80.98651161747148,0,255,7.536927914022315
Allaple.A,269,256,68864,122.33210385687732,76.19728420901471,0,255,7.886724696203238
Agent.FYI,210,64,13440,67.3671875,81.95403170815207,0,255,5.335539634273014
Lolyda.AT,377,64,24128,104.55947446949602,76.56247629083602,0,255,7.527856129187567
Allaple.A,345,256,88320,108.05294384057972,82.16658089387877,0,255,7.458131823211225
Allaple.L,452,128,57856,122.69085315265487,76.527517811767,0,255,7.864668720237317
Lolyda.AT,377,64,24128,103.78522877984085,76.1457382407936,0,255,7.49609355512034
Allaple.A,366,256,93696,127.05445269808743,76.35034256527842,0,255,7.9330081302375826
Allaple.L,452,128,57856,122.33289546460178,76.41455912134288,0,255,7.860122918916156
Instantaccess,445,384,170880,121.58208684456929,78.18352379393046,0,255,7.837737952781339
Allaple.A,286,256,73216,124.68818291083916,76.54074823163249,0,255,7.901653883758155
Allaple.L,452,128,57856,123.21370298672566,76.89220364919346,0,255,7.859538580432709
Allaple.L,452,128,57856,122.97735757743362,77.47551804496815,0,255,7.8271236011279175
Allaple.A,334,256,85504,124.35380800898204,76.27521935265395,0,255,7.914269302503229
C2LOP.gen!g,694,768,532992,110.87305625600385,80.9403869736554,0,255,7.550078001653519
C2LOP.P,616,512,315392,102.57937423904221,82.49334421298501,0,255,7.188423897266267
Dialplatform.B,216,64,13824,94.34129050925925,82.49672227608531,0,255,6.7553431482394615
Allaple.L,452,128,57856,122.21518943584071,76.48232515270008,0,255,7.854337150523991
C2LOP.gen!g,997,512,510464,111.86910144495988,80.12073094266125,0,255,7.57233691563143
Allaple.L,452,128,57856,122.43058628318585,76.23663872155657,0,255,7.862227360080458
Fakerean,285,384,109440,118.28071089181286,81.07243751736054,0,255,7.579276932130401
Allaple.A,367,256,93952,127.02604521457765,76.54781223927218,0,255,7.933679048597915
Wintrim.BX,831,512,425472,122.55893924864621,75.47531904737505,0,255,7.899141869566214
Allaple.L,452,128,57856,122.82086559734513,76.37310322494895,0,255,7.864633798499362
Fakerean,285,384,109440,117.99862938596492,80.394724405913,0,255,7.592528027524022
Allaple.A,248,256,63488,123.68167212701613,76.78913713496078,0,255,7.874668856762272
C2LOP.gen!g,930,512,476160,111.83220766129033,81.42000955712389,0,255,7.485430088381058
Autorun.K,683,768,524544,108.859472227306,87.63788824506106,0,255,6.609808117557009
Yuner.A,683,768,524544,108.84933389763299,87.64029075481817,0,255,6.610591865088436
Malex.gen!J,270,256,69120,120.53459201388888,76.33255485510354,0,255,7.853216540620253
Allaple.A,264,256,67584,122.94202769886364,76.54736852489057,0,255,7.877708835763707
Allaple.A,334,256,85504,122.71248128742515,76.29080593412448,0,255,7.899919822721705
Dialplatform.B,216,64,13824,94.31488715277777,82.45821152308389,0,255,6.755125700732242
Allaple.A,246,256,62976,122.70485581808943,76.78883224743748,0,255,7.85456170014257
Agent.FYI,275,64,17600,53.830056818181816,76.63356533023924,0,255,4.552235914959946
Swizzor.gen!I,524,512,268288,99.86477963979007,82.04362589476641,0,255,7.12328359242024
C2LOP.P,592,512,303104,102.5077003272804,82.02828163925226,0,255,7.202842091620017
Rbot!gen,507,512,259584,96.53046412721893,80.4809170678823,0,255,6.535745089555809
Allaple.A,264,256,67584,123.70842211174242,76.11883027409974,0,255,7.894234573218082
Lolyda.AA1,400,64,25600,92.67125,91.92373733665043,0,255,5.731895409019637
Swizzor.gen!E,693,512,354816,104.91120468073593,84.80222973014358,0,255,7.07784866128287
VB.AT,860,768,660480,84.52860798207364,87.55538933687745,0,255,5.685528704907684
Swizzor.gen!E,956,512,489472,101.23692468619247,83.50034369504861,0,255,6.893772729602666
Allaple.A,248,256,63488,124.20684223790323,76.99165373772973,0,255,7.878330988084352
